"row$Identification";"genotype";"latitude";"longitude"
"PlastEdge_2019-256";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-268";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-280";"An-1";"51,2167";"4,4"
"PlastEdge_2019-292";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-314";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-326";"Com-1";"49,416";"2,823"
"PlastEdge_2019-222";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-234";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-246";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-257";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-269";"Coa-0";"38,45";"-7,5"
"PlastEdge_2019-281";"Ag-0";"45";"1,3"
"PlastEdge_2019-293";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-303";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-315";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-223";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-235";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-247";"Ra-0";"46";"3,3"
"PlastEdge_2019-258";"Com-1";"49,416";"2,823"
"PlastEdge_2019-270";"An-1";"51,2167";"4,4"
"PlastEdge_2019-282";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-294";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-304";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-316";"An-1";"51,2167";"4,4"
"PlastEdge_2019-327";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-224";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-236";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-248";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-259";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-271";"Ler-0";"47,984";"10,8719"
"PlastEdge_2019-283";"Pla-0";"41,5";"2,25"
"PlastEdge_2019-295";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-305";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-317";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-328";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-225";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-237";"Ra-0";"46";"3,3"
"PlastEdge_2019-249";"Pla-0";"41,5";"2,25"
