"individual_id";"identification";"idexp";"main_contributor";"indout";"exp_location";"conditionexp";"treatment";"genotype";"genetic_group";"plant_stage";"leaf_stage";"type_sample";"measurement";"leaf_status";"dateexp";"csr_c";"csr_s";"csr_r";"plant_lifespan";"sla";"ldmc";"delta13c";"delta15n";"lcc";"thickness";"plant_growth_rate";"rwc";"lnc";"sa";"ja";"iaa";"aba";"cmlx";"glucose";"sucrose";"fructose";"arabinose";"cellobiose";"fucose";"galactose";"inositol";"isomaltose";"maltose";"mannose_xylose";"melezitose";"melbiose";"palatinose";"raffinose";"rhamnose";"ribose";"trehalose";"xylose";"glucoalysiin";"glucobrassicin";"glucoerucin";"gluconapin";"gluconasturtiin";"glucoraphanin";"glucoraphenin";"epigallocatechin";"progoitrin";"epiprogoitrin";"isobutyl";"glucosinalbin";"sinigrin";"hexyl";"butyl";"neoglucobrassicinpeak1";"neoglucobrassicinpeak2";"x3mtp";"x5mtp";"x6msh";"x7msh";"x7mth";"x8mso";"x8mto";"apigeninrutinoside";"caffeicacid";"chlorogenicacid";"citrat";"cyanidinrhamnoside";"cyanidinsophorosidglucoside";"dihydrocaffeoylglucuronide";"fumarat";"kaempherolglucosylrhamnosylglucoside";"kaempherolrutinoside";"kaempherolxylosylrhamnoside";"malat";"mcoumaricacid";"pcoumaricacid";"pelargonidincumaroyldiglucoside";"pelargonidinsambubioside";"prenylnaringenin";"quercetinglucoside";"succinat";"maltose..97"
2808;"PlastEdge_2019-202";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"TEDEN 02";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;118;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2809;"PlastEdge_2019-213";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Rennes-1";"western_europe";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;7.500883246;0;92.49911675;115;59.13811812;67.28395062;NA;NA;NA;251.3165077;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2810;"PlastEdge_2019-127";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Utrecht";"admixed";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;6.360413992;0;93.63958601;118;57.73473984;90.54726368;NA;NA;NA;191.287881;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2811;"PlastEdge_2019-139";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"An-1";"admixed";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2812;"PlastEdge_2019-151";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Ler-0";"admixed";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;119;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2813;"PlastEdge_2019-162";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"TaL 03";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;119;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2814;"PlastEdge_2019-171";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"San-2";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;123;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2815;"PlastEdge_2019-182";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"San-2";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2816;"PlastEdge_2019-192";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"TBO 01";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2817;"PlastEdge_2019-203";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Eden-1";"north_sweden";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;NA;NA;NA;123;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2818;"PlastEdge_2019-214";"PlastEdge";"Aurelien Estarague";"Indoor";"CEFE, Montpellier, France";"Greenhouse";"WaterStress/LowTemperature";"Ag-0";"western_europe";"Vegetative";"Mature leaf";"Living leaf";NA;"attached";2019-01-28;8.465496576;0;91.53450342;NA;49.17633133;97.47292419;NA;NA;NA;208.6218915;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
